SubNo,date,source,session_index,face,axis,true_bar_px,face_value_0_to_10,face_value_ratio,square_side_estimate
2,2026-03-27,EPtask-2-2026-03-27-4.mat,4,4,left,329.0,8.817,0.8817,373.14279233299305
2,2026-03-27,EPtask-2-2026-03-27-4.mat,4,4,right,251.0,6.716,0.6716,373.7343656938654
2,2026-03-27,EPtask-2-2026-03-27-4.mat,4,5,left,183.0,4.894,0.4894,373.9272578667756
2,2026-03-27,EPtask-2-2026-03-27-4.mat,4,5,right,75.0,2.02,0.202,371.28712871287127
2,2026-03-27,EPtask-2-2026-03-27-4.mat,4,6,left,286.0,7.659,0.7659,373.4168951560256
2,2026-03-27,EPtask-2-2026-03-27-4.mat,4,6,right,119.0,3.185,0.3185,373.6263736263736
2,2026-03-27,EPtask-2-2026-03-27-4.mat,4,2,left,104.0,2.789,0.27890000000000004,372.89351021871636
2,2026-03-27,EPtask-2-2026-03-27-4.mat,4,2,right,290.0,7.765,0.7765,373.4707018673535
2,2026-03-28,EPtask-2-2026-03-28.mat,0,5,left,183.0,4.894,0.4894,373.9272578667756
2,2026-03-28,EPtask-2-2026-03-28.mat,0,5,right,75.0,2.02,0.202,371.28712871287127
2,2026-03-28,EPtask-2-2026-03-28.mat,0,4,left,329.0,8.817,0.8817,373.14279233299305
2,2026-03-28,EPtask-2-2026-03-28.mat,0,4,right,251.0,6.716,0.6716,373.7343656938654
2,2026-03-28,EPtask-2-2026-03-28.mat,0,6,left,286.0,7.659,0.7659,373.4168951560256
2,2026-03-28,EPtask-2-2026-03-28.mat,0,6,right,119.0,3.185,0.3185,373.6263736263736
2,2026-03-28,EPtask-2-2026-03-28.mat,0,3,left,240.0,6.426,0.6426000000000001,373.4827264239029
2,2026-03-28,EPtask-2-2026-03-28.mat,0,3,right,318.0,8.527,0.8526999999999999,372.9330362378328
2,2026-03-28,EPtask-2-2026-03-28.mat,0,2,left,104.0,2.789,0.27890000000000004,372.89351021871636
2,2026-03-28,EPtask-2-2026-03-28.mat,0,2,right,290.0,7.765,0.7765,373.4707018673535
2,2026-03-28,EPtask-2-2026-03-28.mat,0,1,left,90.0,2.416,0.24159999999999998,372.51655629139077
2,2026-03-28,EPtask-2-2026-03-28.mat,0,1,right,179.0,4.788,0.4788,373.8512949039265
2,2026-03-29,EPtask-2-2026-03-29.mat,0,4,left,330.0,8.817,0.8817,374.276964954066
2,2026-03-29,EPtask-2-2026-03-29.mat,0,4,right,251.0,6.716,0.6716,373.7343656938654
2,2026-03-29,EPtask-2-2026-03-29-1.mat,1,5,left,183.0,4.894,0.4894,373.9272578667756
2,2026-03-29,EPtask-2-2026-03-29-1.mat,1,5,right,76.0,2.02,0.202,376.2376237623762
2,2026-03-29,EPtask-2-2026-03-29-1.mat,1,6,left,286.0,7.659,0.7659,373.4168951560256
2,2026-03-29,EPtask-2-2026-03-29-1.mat,1,6,right,119.0,3.185,0.3185,373.6263736263736
2,2026-03-29,EPtask-2-2026-03-29-1.mat,1,4,left,330.0,8.817,0.8817,374.276964954066
2,2026-03-29,EPtask-2-2026-03-29-1.mat,1,4,right,251.0,6.716,0.6716,373.7343656938654
2,2026-03-29,EPtask-2-2026-03-29-1.mat,1,3,left,240.0,6.426,0.6426000000000001,373.4827264239029
2,2026-03-29,EPtask-2-2026-03-29-1.mat,1,3,right,319.0,8.527,0.8526999999999999,374.1057816348071
2,2026-03-29,EPtask-2-2026-03-29-1.mat,1,2,left,104.0,2.789,0.27890000000000004,372.89351021871636
2,2026-03-29,EPtask-2-2026-03-29-1.mat,1,2,right,290.0,7.765,0.7765,373.4707018673535
2,2026-03-29,EPtask-2-2026-03-29-1.mat,1,1,left,90.0,2.416,0.24159999999999998,372.51655629139077
2,2026-03-29,EPtask-2-2026-03-29-1.mat,1,1,right,179.0,4.788,0.4788,373.8512949039265
2,2026-03-29,EPtask-2-2026-03-29-2.mat,2,4,left,330.0,8.817,0.8817,374.276964954066
2,2026-03-29,EPtask-2-2026-03-29-2.mat,2,4,right,251.0,6.716,0.6716,373.7343656938654
2,2026-03-29,EPtask-2-2026-03-29-2.mat,2,2,left,104.0,2.789,0.27890000000000004,372.89351021871636
2,2026-03-29,EPtask-2-2026-03-29-2.mat,2,2,right,290.0,7.765,0.7765,373.4707018673535
2,2026-03-29,EPtask-2-2026-03-29-2.mat,2,3,left,240.0,6.426,0.6426000000000001,373.4827264239029
2,2026-03-29,EPtask-2-2026-03-29-2.mat,2,3,right,319.0,8.527,0.8526999999999999,374.1057816348071
2,2026-03-29,EPtask-2-2026-03-29-2.mat,2,5,left,183.0,4.894,0.4894,373.9272578667756
2,2026-03-29,EPtask-2-2026-03-29-2.mat,2,5,right,76.0,2.02,0.202,376.2376237623762
2,2026-03-29,EPtask-2-2026-03-29-2.mat,2,6,left,286.0,7.659,0.7659,373.4168951560256
2,2026-03-29,EPtask-2-2026-03-29-2.mat,2,6,right,119.0,3.185,0.3185,373.6263736263736
2,2026-03-29,EPtask-2-2026-03-29-2.mat,2,1,left,90.0,2.416,0.24159999999999998,372.51655629139077
2,2026-03-29,EPtask-2-2026-03-29-2.mat,2,1,right,179.0,4.788,0.4788,373.8512949039265
2,2026-03-29,EPtask-2-2026-03-29-3.mat,3,6,left,286.0,7.659,0.7659,373.4168951560256
2,2026-03-29,EPtask-2-2026-03-29-3.mat,3,6,right,119.0,3.185,0.3185,373.6263736263736
2,2026-03-29,EPtask-2-2026-03-29-3.mat,3,3,left,240.0,6.426,0.6426000000000001,373.4827264239029
2,2026-03-29,EPtask-2-2026-03-29-3.mat,3,3,right,319.0,8.527,0.8526999999999999,374.1057816348071
2,2026-03-29,EPtask-2-2026-03-29-3.mat,3,1,left,90.0,2.416,0.24159999999999998,372.51655629139077
2,2026-03-29,EPtask-2-2026-03-29-3.mat,3,1,right,179.0,4.788,0.4788,373.8512949039265
2,2026-03-29,EPtask-2-2026-03-29-3.mat,3,4,left,330.0,8.817,0.8817,374.276964954066
2,2026-03-29,EPtask-2-2026-03-29-3.mat,3,4,right,251.0,6.716,0.6716,373.7343656938654
2,2026-03-29,EPtask-2-2026-03-29-3.mat,3,2,left,104.0,2.789,0.27890000000000004,372.89351021871636
2,2026-03-29,EPtask-2-2026-03-29-3.mat,3,2,right,290.0,7.765,0.7765,373.4707018673535
2,2026-03-29,EPtask-2-2026-03-29-3.mat,3,5,left,183.0,4.894,0.4894,373.9272578667756
2,2026-03-29,EPtask-2-2026-03-29-3.mat,3,5,right,76.0,2.02,0.202,376.2376237623762
6,2026-03-27,EPtask-6-2026-03-27.mat,0,4,left,330.0,8.817,0.8817,374.276964954066
6,2026-03-27,EPtask-6-2026-03-27.mat,0,4,right,251.0,6.716,0.6716,373.7343656938654
6,2026-03-27,EPtask-6-2026-03-27-1.mat,1,5,left,183.0,4.894,0.4894,373.9272578667756
6,2026-03-27,EPtask-6-2026-03-27-1.mat,1,5,right,76.0,2.02,0.202,376.2376237623762
6,2026-03-27,EPtask-6-2026-03-27-1.mat,1,6,left,286.0,7.659,0.7659,373.4168951560256
6,2026-03-27,EPtask-6-2026-03-27-1.mat,1,6,right,119.0,3.185,0.3185,373.6263736263736
6,2026-03-27,EPtask-6-2026-03-27-1.mat,1,4,left,330.0,8.817,0.8817,374.276964954066
6,2026-03-27,EPtask-6-2026-03-27-1.mat,1,4,right,251.0,6.716,0.6716,373.7343656938654
6,2026-03-27,EPtask-6-2026-03-27-1.mat,1,3,left,240.0,6.426,0.6426000000000001,373.4827264239029
6,2026-03-27,EPtask-6-2026-03-27-1.mat,1,3,right,319.0,8.527,0.8526999999999999,374.1057816348071
6,2026-03-27,EPtask-6-2026-03-27-2.mat,2,4,left,330.0,8.817,0.8817,374.276964954066
6,2026-03-27,EPtask-6-2026-03-27-2.mat,2,4,right,251.0,6.716,0.6716,373.7343656938654
6,2026-03-27,EPtask-6-2026-03-27-2.mat,2,2,left,104.0,2.789,0.27890000000000004,372.89351021871636
6,2026-03-27,EPtask-6-2026-03-27-2.mat,2,2,right,290.0,7.765,0.7765,373.4707018673535
6,2026-03-27,EPtask-6-2026-03-27-2.mat,2,3,left,240.0,6.426,0.6426000000000001,373.4827264239029
6,2026-03-27,EPtask-6-2026-03-27-2.mat,2,3,right,319.0,8.527,0.8526999999999999,374.1057816348071
6,2026-03-27,EPtask-6-2026-03-27-2.mat,2,5,left,183.0,4.894,0.4894,373.9272578667756
6,2026-03-27,EPtask-6-2026-03-27-2.mat,2,5,right,76.0,2.02,0.202,376.2376237623762
6,2026-03-27,EPtask-6-2026-03-27-2.mat,2,6,left,286.0,7.659,0.7659,373.4168951560256
6,2026-03-27,EPtask-6-2026-03-27-2.mat,2,6,right,119.0,3.185,0.3185,373.6263736263736
6,2026-03-27,EPtask-6-2026-03-27-2.mat,2,1,left,90.0,2.416,0.24159999999999998,372.51655629139077
6,2026-03-27,EPtask-6-2026-03-27-2.mat,2,1,right,179.0,4.788,0.4788,373.8512949039265
6,2026-03-27,EPtask-6-2026-03-27-2.mat,2,5,left,183.0,4.894,0.4894,373.9272578667756
6,2026-03-27,EPtask-6-2026-03-27-2.mat,2,5,right,76.0,2.02,0.202,376.2376237623762
6,2026-03-27,EPtask-6-2026-03-27-2.mat,2,3,left,240.0,6.426,0.6426000000000001,373.4827264239029
6,2026-03-27,EPtask-6-2026-03-27-2.mat,2,3,right,319.0,8.527,0.8526999999999999,374.1057816348071
